data_name,lambda,prerank,pce,energy
households,0.0,marginal,0.1952690283457438,0.9433606068293253
households,0.01,marginal,0.1889890432357788,0.9486067891120911
households,0.1,marginal,0.19251154363155365,0.9530459443728129
households,1.0,marginal,0.1311959077914556,0.9633055130640665
households,5.0,marginal,0.06271088868379593,0.9633099635442098
households,10.0,marginal,0.05709328750769297,0.9770302573839823
households,0.0,mean,0.18725248177846274,0.96013875802358
households,0.01,mean,0.19561976691087088,0.944737990697225
households,0.1,mean,0.16936765611171722,0.9524416128794352
households,1.0,mean,0.1331115315357844,0.9472630222638448
households,5.0,mean,0.05772177875041962,0.9657978812853495
households,10.0,mean,0.046554495890935264,1.0153459707895915
households,0.0,variance,0.24671921133995056,0.943436880906423
households,0.01,variance,0.2408999353647232,0.9578965902328491
households,0.1,variance,0.22104218105475107,0.9440597693125407
households,1.0,variance,0.11498432109753291,0.948424756526947
households,5.0,variance,0.06362880021333694,0.9538619716962179
households,10.0,variance,0.06151274343331655,0.957764466603597
households,0.0,dependency,0.12982754409313202,0.9449061354001363
households,0.01,dependency,0.11844362566868465,0.949539045492808
households,0.1,dependency,0.12014919022719066,0.9549834926923116
households,1.0,dependency,0.08956262220939,0.961597204208374
households,5.0,dependency,0.06078662847479185,0.9606580336888632
households,10.0,dependency,0.052446234971284866,0.9666766126950582
households,0.0,pca,0.16874357064565024,0.9590283036231995
households,0.01,pca,0.17285740872224173,0.9536678989728292
households,0.1,pca,0.16571848591168722,0.9465952118237814
households,1.0,pca,0.13700029253959656,0.9461847146352133
households,5.0,pca,0.06443000212311745,0.9593760768572489
households,10.0,pca,0.061147574335336685,0.9815280238787333
households,0.0,density,0.23407042026519775,0.9496943553288778
households,0.01,density,0.2386723260084788,0.95102858543396
households,0.1,density,0.20991001029809317,0.9488292733828226
households,1.0,density,0.1720109780629476,0.9433675607045492
households,5.0,density,0.10124347607294719,0.9573208093643188
households,10.0,density,0.08631950865189235,0.973663866519928
households,0.0,cdf,0.2488508770863215,0.9483067790667216
households,0.01,cdf,0.2551868110895157,0.9612959424654642
households,0.1,cdf,0.24779685338338217,0.949347198009491
households,1.0,cdf,0.10431993007659912,0.9587187965710958
households,5.0,cdf,0.05984779571493467,0.9639302293459574
households,10.0,cdf,0.05373961851000786,0.9750186602274576
air,0.0,marginal,0.20420004427433014,1.4483938813209534
air,0.01,marginal,0.1902304987112681,1.451492190361023
